,Items,Prices
0,Infinix 32'' Hd Smart Andro,"NGN81,320"
1,Philips Daily Blender Colle,"NGN28,870"
2,Ringlight With Tripod Stand,"NGN8,999"
3,Millennial 6 In 1 Food Bund,"NGN7,900"
4,Samsung Galaxy S22 Ultra - ,"NGN869,999"
5,"Zinox 21.5"" Avid Aio Pro - ","NGN164,300"
6,Sunlight Tropical Sensation,"NGN3,920"
7,"iTEC Handle Start, 2.5kva P","NGN113,420"
8,QASA Rechargeable Lantern W,"NGN2,675"
9,Domestos Citrus Fresh Multi,"NGN1,850"
